guideid,guidename,phone,email,specialization,region,experienceyears
427,Guide_427,050-4231990,guide427@trip.com,Culinary,North,8
428,Guide_428,050-3657338,guide428@trip.com,Extreme,South,19
429,Guide_429,050-8550372,guide429@trip.com,Hiking,North,19
430,Guide_430,050-6595139,guide430@trip.com,History,South,9
431,Guide_431,050-2592083,guide431@trip.com,History,South,26
432,Guide_432,050-1511128,guide432@trip.com,Hiking,South,23
433,Guide_433,050-3430793,guide433@trip.com,Hiking,Center,8
434,Guide_434,050-3921715,guide434@trip.com,Hiking,South,6
435,Guide_435,050-1995469,guide435@trip.com,Extreme,North,10
436,Guide_436,050-9777866,guide436@trip.com,History,Center,8
437,Guide_437,050-8594006,guide437@trip.com,History,Center,18
438,Guide_438,050-1480740,guide438@trip.com,Culinary,North,3
439,Guide_439,050-2097659,guide439@trip.com,Culinary,South,29
440,Guide_440,050-5888063,guide440@trip.com,Culinary,Jerusalem,9
441,Guide_441,050-2705572,guide441@trip.com,Extreme,Center,27
442,Guide_442,050-2435883,guide442@trip.com,Culinary,North,2
443,Guide_443,050-1350457,guide443@trip.com,Extreme,South,20
444,Guide_444,050-8397050,guide444@trip.com,Hiking,Jerusalem,15
445,Guide_445,050-3700683,guide445@trip.com,History,Jerusalem,18
446,Guide_446,050-2481721,guide446@trip.com,Hiking,Center,13
447,Guide_447,050-8539589,guide447@trip.com,Extreme,South,13
448,Guide_448,050-2810562,guide448@trip.com,Culinary,Center,5
449,Guide_449,050-5679441,guide449@trip.com,Hiking,South,13
450,Guide_450,050-1098071,guide450@trip.com,Culinary,Jerusalem,17
451,Guide_451,050-2535798,guide451@trip.com,Culinary,Center,29
452,Guide_452,050-1170859,guide452@trip.com,Culinary,Center,21
453,Guide_453,050-1356682,guide453@trip.com,History,South,9
454,Guide_454,050-4894794,guide454@trip.com,Culinary,South,6
455,Guide_455,050-1822024,guide455@trip.com,Extreme,South,25
456,Guide_456,050-3724966,guide456@trip.com,History,North,2
457,Guide_457,050-3750714,guide457@trip.com,Extreme,Jerusalem,8
458,Guide_458,050-9142147,guide458@trip.com,Hiking,South,24
459,Guide_459,050-3087533,guide459@trip.com,History,Jerusalem,25
460,Guide_460,050-2523703,guide460@trip.com,History,Center,23
461,Guide_461,050-9972627,guide461@trip.com,Extreme,South,24
462,Guide_462,050-4322625,guide462@trip.com,Extreme,Center,1
463,Guide_463,050-3194913,guide463@trip.com,Culinary,South,4
464,Guide_464,050-8413077,guide464@trip.com,Culinary,Center,4
465,Guide_465,050-4030622,guide465@trip.com,Extreme,Center,18
466,Guide_466,050-2594290,guide466@trip.com,Culinary,South,27
467,Guide_467,050-3114947,guide467@trip.com,History,Jerusalem,20
468,Guide_468,050-3002635,guide468@trip.com,Culinary,North,11
469,Guide_469,050-8015114,guide469@trip.com,Hiking,South,22
470,Guide_470,050-6247033,guide470@trip.com,Hiking,South,16
471,Guide_471,050-4165584,guide471@trip.com,History,North,29
472,Guide_472,050-7654767,guide472@trip.com,Culinary,South,22
473,Guide_473,050-5316456,guide473@trip.com,History,North,26
474,Guide_474,050-2706524,guide474@trip.com,Extreme,South,11
475,Guide_475,050-4592685,guide475@trip.com,Extreme,Jerusalem,26
476,Guide_476,050-8815936,guide476@trip.com,Extreme,Jerusalem,3
477,Guide_477,050-3574925,guide477@trip.com,Extreme,South,22
478,Guide_478,050-2759714,guide478@trip.com,Culinary,South,15
479,Guide_479,050-4561859,guide479@trip.com,Culinary,Jerusalem,2
480,Guide_480,050-1442581,guide480@trip.com,History,Center,19
481,Guide_481,050-9245451,guide481@trip.com,Culinary,Jerusalem,11
482,Guide_482,050-6397499,guide482@trip.com,History,South,13
483,Guide_483,050-9220485,guide483@trip.com,Hiking,Jerusalem,29
484,Guide_484,050-2689738,guide484@trip.com,Hiking,Center,11
485,Guide_485,050-2230925,guide485@trip.com,Culinary,Jerusalem,3
486,Guide_486,050-5006229,guide486@trip.com,Extreme,North,11
487,Guide_487,050-1102988,guide487@trip.com,Extreme,South,17
488,Guide_488,050-3387023,guide488@trip.com,History,Center,25
489,Guide_489,050-7741902,guide489@trip.com,Culinary,North,19
490,Guide_490,050-2851867,guide490@trip.com,Hiking,Jerusalem,2
491,Guide_491,050-9076698,guide491@trip.com,Culinary,South,20
492,Guide_492,050-5262673,guide492@trip.com,Extreme,South,28
493,Guide_493,050-4218613,guide493@trip.com,Hiking,South,18
494,Guide_494,050-4960270,guide494@trip.com,Extreme,South,23
495,Guide_495,050-7903222,guide495@trip.com,Culinary,South,29
496,Guide_496,050-5825708,guide496@trip.com,History,Center,20
497,Guide_497,050-9142281,guide497@trip.com,Extreme,North,29
498,Guide_498,050-3273165,guide498@trip.com,Extreme,North,23
499,Guide_499,050-3733194,guide499@trip.com,Culinary,South,22
500,Guide_500,050-8402197,guide500@trip.com,History,Center,18
